"Sciezka Folderu";"Nazwa Pliku";"Rozszerzenie";"Czas Trwania";"Data Utworzenia"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"033 - Daft Punk - Something About Us (Official Video)";".mp3";"00:03:48";"2026-05-08 10:55:30"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"034 - Daft Punk - One More Time (Official Video)";".mp3";"00:05:21";"2026-05-08 10:55:34"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"035 - Wicked Game";".mp3";"00:04:46";"2026-05-08 10:55:39"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"036 - Dancing In the Dark";".mp3";"00:03:59";"2026-05-08 10:55:45"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"037 - Out of Touch";".mp3";"00:04:09";"2026-05-08 10:55:49"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"038 - Opus - Life Is Life (Live)";".mp3";"00:03:41";"2026-05-08 10:55:54"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"039 - Grupa Na Swoim - Piwo wino @ Yapa 2018";".mp3";"00:04:06";"2026-05-08 10:55:58"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"04 - Napple Tale： Arsia in Daydream - A Guitar's Rhythm";".mp3";"00:03:35";"2026-05-08 11:17:58"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"040 - Daft Punk - Giorgio by Moroder (Official Audio)";".mp3";"00:09:13";"2026-05-08 10:56:02"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"041 - Maniac";".mp3";"00:04:04";"2026-05-08 10:56:11"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"042 - gotye - somebody that i used to know tronicbox 80's remix [slowed & reverb]";".mp3";"00:04:14";"2026-05-08 10:56:15"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"043 - Bruce Springsteen - Born to Run (Official Video)";".mp3";"00:05:33";"2026-05-08 10:56:20"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"044 - Cyndi Lauper - True Colors (Official HD Video)";".mp3";"00:04:06";"2026-05-08 10:56:26"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"045 - Milky Chance - Stolen Dance (Official 4K Music Video)";".mp3";"00:05:13";"2026-05-08 10:56:31"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"046 - Brigitte Bardot TRIBUTE - Mambo Italiano";".mp3";"00:02:48";"2026-05-08 10:56:36"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"047 - Mambo Dancing in Bogotá - Colombia";".mp3";"00:02:49";"2026-05-08 10:56:39"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"048 - José Feliciano - Feliz Navidad (Official Audio)";".mp3";"00:03:03";"2026-05-08 10:56:43"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"049 - MAKING OF ROBIN OF SHERWOOD (Part 1⧸5) (Subtitles： Pol) 🎬";".mp3";"00:18:19";"2026-05-08 10:56:47"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"05 - Summer's Gone -second season ver-";".mp3";"00:06:51";"2026-05-08 11:18:03"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"050 - Noches en Andalucía (Spanish Guitar)- Govi";".mp3";"00:05:24";"2026-05-08 10:57:02"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"051 - Sting - Shape of My Heart (Official Music Video)";".mp3";"00:04:40";"2026-05-08 10:57:07"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"053 - Fly-day Chinatown";".mp3";"00:03:28";"2026-05-08 10:57:13"
"C:\Users\wierz\Programy\prozipy\ffmpeg-7.1.1-essentials_build\bin\l";"054 - engelwood - crystal dolphin";".mp3";"00:01:53";"2026-05-08 10:57:17"
